	Cell 1	Cell 2	Cell 3	Cell 4	Cell 5	Cell 6	Cell 7	Cell 8	Cell 9	Cell 10	Cell 11	Cell 12	Cell 13	Cell 14	Cell 15	Cell 16	Cell 17	Cell 18	Cell 19	Cell 20	Cell 21	Cell 22	Cell 23	Cell 24	Cell 25	Cell 26	Cell 27	Cell 28	Cell 29	Cell 30	Cell 31	Cell 32	Cell 33	Cell 34	Cell 35	Cell 36	Cell 37	Cell 38	Cell 39	Cell 40	Cell 41	Cell 42	Cell 43	Cell 44	Cell 45	Cell 46	Cell 47	Cell 48	Cell 49	Cell 50	Cell 51	Cell 52	Cell 53	Cell 54	Cell 55	Cell 56	Cell 57	Cell 58	Cell 59	Cell 60	Cell 61	Cell 62	Cell 63	Cell 64	Cell 65	Cell 66	Cell 67	Cell 68	Cell 69	Cell 70	Cell 71	Cell 72	Cell 73	Cell 74	Cell 75	Cell 76	Cell 77	Cell 78	Cell 79	Cell 80	Cell 81
Gnai3	3.2322	1.9832	2.2482	3.9779	3.7204	1.7073	1.9181	2.8296	3.0621	0.45	3.5251	2.2023	1.2395	4.2291	2.7815	2.963	3.7223	2.3119	2.083	2.9296	2.3114	1.9078	1.7065	2.9649	1.665	1.8163	2.5997	2.6527	1.5034	1.7792	2.811	1.2383	1.8875	1.1863	2.967	2.1179	2.2072	1.5415	2.4578	2.4487	2.1755	2.114	2.6782	3.4099	2.5381	3.3657	2.1795	2.3837	2.2724	2.3768	3.2926	3.1799	2.6594	2.8994	2.8281	2.7284	3.0793	1.3575	3.5668	3.3432	2.1928	2.5717	3.0157	3.1672	2.8668	1.4936	2.6586	3.6691	3.9798	2.0344	2.1779	2.2105	2.9617	4.1674	0.67176	0.52767	2.6787	1.7962	3.0879	3.5296	1.0938
Cdc45	3.1981	1.173	3.1705	1.1506	2.5739	1.6337	1.9765	-0.43942	0.27769	2.4895	2.9331	1.9851	0.74053	1.2244	1.0141	2.8122	1.0268	2.4304	0.49785	1.5029	0.43639	3.3166	1.1067	2.3129	1.9401	1.7547	1.2255	2.5933	0.95464	1.7479	2.3753	2.6277	1.0077	2.2045	1.8487	1.9634	1.4079	0.47828	2.0864	0.88837	2.5787	-0.048343	-0.10365	1.1335	2.6687	2.5218	0.62218	3.0832	2.3453	2.3571	1.0852	2.8471	1.8405	1.5963	2.3951	2.9887	3.235	1.416	1.5281	1.2258	1.6835	3.1156	3.7817	0.73877	1.0683	1.817	1.2606	2.0618	2.7923	1.4716	1.8969	1.7401	1.9957	0.67698	0.65248	2.5332	2.7789	2.4039	0.97017	0.60916	2.5182
Narf	0.29411	0.49389	1.6279	0.31071	1.474	1.0234	0.76475	1.8222	2.085	2.7118	0.41253	0.61478	0.20512	1.3457	-0.51022	3.0756	0.41745	3.1093	0.1752	1.2369	0.94741	1.7367	3.0585	0.081603	0.3955	0.85388	0.54168	1.3387	0.10225	0.53933	1.8561	0.48246	2.5687	0.53318	0.11629	0.34413	0.36096	-0.13518	2.1201	3.1475	2.6731	-0.28097	0.31599	0.31297	-0.02795	0.50641	0.40754	0.23369	2.7892	0.043676	1.631	3.2359	0.80823	1.7832	0.74894	0.73951	2.4234	1.5073	1.8235	-0.14718	0.43812	3.6595	3.6016	1.6626	2.0125	0.96841	2.496	0.67683	0.34053	0.61397	-0.4474	0.40503	2.0677	1.9361	0.43944	0.23133	0.75518	0.44259	2.1986	1.2865	0.29146
Klf6	1.7343	3.8505	1.6306	2.4655	4.1158	2.5805	3.8161	3.0776	3.6269	2.1488	3.6302	2.3788	1.9329	2.58	2.7878	3.4501	2.2672	3.3207	3.0337	3.1224	3.1304	3.2233	3.5821	2.4329	4.2566	2.9832	3.4582	3.5526	2.3119	3.7787	2.8564	2.7691	3.9897	3.0664	3.6357	2.8781	2.5311	2.5808	3.0406	2.5048	2.9504	3.4579	2.9155	2.9055	2.8569	2.8044	2.9165	3.3291	3.1776	3.1495	3.2405	2.8117	3.2468	3.4654	2.8127	3.1531	3.3859	3.7417	3.3901	3.7864	3.3246	3.147	4.0631	2.802	3.2982	3.5055	2.415	2.4469	3.2157	4.0447	3.0532	3.5003	3.1221	2.0731	2.126	3.0417	2.0196	3.3769	2.1911	2.6449	3.1483
Scmh1	0.26642	0.28471	-0.064102	0.10635	1.8016	0.21496	0.26583	-0.13978	0.04222	1.979	-0.032544	0.31339	3.29	2.053	2.3957	0.29899	0.033922	2.9769	2.0446	0.095223	-0.11098	2.8179	3.1758	0.55733	0.64848	1.8257	-0.080631	0.91182	1.322	1.5049	3.2553	0.11674	0.25674	0.76943	0.94924	1.3075	2.6895	-0.050267	-0.15681	1.3128	1.1321	1.2296	0.40203	1.6016	0.10439	1.1327	0.7173	2.678	-0.20852	-0.12535	-0.033452	0.2524	1.4208	0.0023325	1.5361	0.42051	-0.026701	0.92719	0.68105	-0.054485	3.3192	0.13707	-0.0058901	0.45657	-0.0646	1.9078	0.22217	0.34506	0.34015	0.17211	1.569	0.13948	0.87842	0.33292	0.061847	-0.035233	0.44856	0.6892	0.15608	0.096722	2.0985
Wnt3	0.53103	0.27724	0.61398	0.60706	3.5557	0.17696	0.070485	-0.0019416	0.47497	-0.0019416	0.87035	-0.0019416	-0.0019416	-0.0019416	0.86163	0.65561	-0.0019416	-0.0019416	1.2948	-0.0019416	-0.0019416	-0.0019416	-0.0019416	1.4916	-0.0019416	-0.0019416	-0.0019416	1.854	-0.0019416	0.10455	-0.0019416	-0.0019416	-0.0019416	0.56821	1.2639	-0.0019416	1.6	-0.0019416	-0.0019416	-0.0019416	-0.0019416	-0.0019416	0.97743	0.15487	-0.0019416	0.32666	-0.0019416	3.5477	-0.0019416	0.39067	0.40933	0.376	0.37551	-0.0019416	-0.0019416	-0.0019416	-0.0019416	-0.0019416	-0.0019416	-0.0019416	-0.0019416	-0.0019416	-0.0019416	-0.0019416	-0.0019416	-0.0019416	1.5925	-0.0019416	-0.0019416	-0.0019416	-0.0019416	-0.0019416	-0.0019416	-0.0019416	-0.0019416	0.32176	-0.0019416	-0.0019416	-0.0019416	-0.0019416	-0.0019416
Fert2	-0.0013202	-0.0013202	-0.0013202	-0.0013202	-0.0013202	-0.0013202	-0.0013202	-0.0013202	-0.0013202	-0.0013202	-0.0013202	0.64131	-0.0013202	-0.0013202	-0.0013202	-0.0013202	-0.0013202	-0.0013202	-0.0013202	-0.0013202	-0.0013202	-0.0013202	-0.0013202	-0.0013202	0.24155	-0.0013202	-0.0013202	-0.0013202	-0.0013202	-0.0013202	-0.0013202	2.2075	-0.0013202	-0.0013202	-0.0013202	-0.0013202	-0.0013202	-0.0013202	2.4216	-0.0013202	-0.0013202	-0.0013202	0.8235	-0.0013202	0.17901	2.4917	-0.0013202	0.35602	-0.0013202	3.3976	-0.0013202	-0.0013202	-0.0013202	-0.0013202	-0.0013202	-0.0013202	0.46696	-0.0013202	-0.0013202	-0.0013202	-0.0013202	-0.0013202	-0.0013202	-0.0013202	-0.0013202	-0.0013202	-0.0013202	2.1663	-0.0013202	-0.0013202	-0.0013202	-0.0013202	-0.0013202	-0.0013202	1.8607	-0.0013202	-0.0013202	-0.0013202	-0.0013202	-0.0013202	-0.0013202
Xpo6	2.0286	2.6808	2.3629	2.3456	0.24584	2.0913	3.3405	2.8418	1.2443	0.53199	1.961	1.5906	3.2331	1.3147	2.7784	1.4646	2.8173	2.4722	3.0579	2.971	1.003	2.879	1.2724	2.2985	2.3993	2.3183	0.73221	2.6684	1.6007	3.2966	2.4088	1.6431	2.6515	2.2701	2.3346	2.7196	2.9275	3.1022	1.5799	3.6963	2.7042	3.0303	3.0498	3.0437	2.124	1.6979	0.74634	2.9014	2.6191	1.659	2.8344	2.0695	1.4973	3.0852	2.0504	1.67	1.0149	2.4634	3.1512	2.9937	3.2346	1.6084	2.5601	0.9938	1.8658	2.3877	1.3423	2.2419	2.5497	2.2012	2.66	2.5508	2.8135	3.9478	2.9449	1.8615	1.5142	1.6404	2.5218	3.0168	2.6299
Tfe3	0.034407	3.2501	-0.15768	0.58509	0.25423	1.3641	0.68961	1.0105	3.305	-0.11513	3.2874	0.73606	0.48319	0.16347	0.84083	-0.093433	0.407	0.31127	2.9555	3.06	0.97736	-0.14307	3.2706	3.3488	0.49463	1.4044	0.94138	1.6611	0.32995	0.49671	2.2406	0.30674	0.18248	0.4727	1.7775	2.7048	0.44853	-0.12215	1.4908	1.6707	1.8476	2.5897	1.3078	0.41262	2.5763	0.35466	0.33491	-0.28669	0.74036	-0.31497	3.0522	0.58628	0.78535	2.202	2.4242	0.75623	-0.061631	0.32044	-0.11583	1.4032	1.5607	1.0713	0.67449	1.1523	3.6132	1.0829	0.33934	1.6175	0.53376	0.65656	1.166	0.49091	-0.25715	1.3462	0.79043	0.24016	0.68098	0.39901	0.5416	0.25533	0.0033805
Brat1	0.0024478	0.57451	0.27495	0.65898	2.1207	1.0687	0.20165	2.7883	0.49503	-0.026486	0.47821	0.20329	0.03155	2.2461	2.8259	0.63527	1.0381	-0.092439	-0.032144	0.91688	2.6461	-0.031893	3.6147	0.70018	2.7308	0.6699	0.72037	3.2405	0.013594	0.071296	2.5616	0.055142	0.0311	0.71027	2.5702	0.010759	0.058749	0.31336	-0.080788	0.028059	0.85894	1.8252	2.53	2.3505	2.7725	0.54081	-0.02574	-0.059682	0.54576	1.6359	2.8262	-0.065248	0.036123	0.85217	0.39821	0.2142	-0.016135	1.9582	0.70223	-0.029942	2.5117	0.2462	0.34983	0.42783	-0.034968	0.32872	0.28974	0.031939	2.035	1.5673	-0.08234	0.19222	-0.053967	0.011361	0.027866	0.48724	0.12756	0.20246	0.31083	3.319	2.0252
